@relation output_auxiliar_tweet

@attribute topic {microsoft,google,apple,twitter}
@attribute class {positive,negative,neutral,irrelevant}
@attribute TweetId numeric
@attribute TweetDate string
@attribute TweetText string

@data
?,positive,?,?,?
?,negative,?,?,?
?,neutral,?,?,?
?,irrelevant,?,?,?
microsoft,negative,1.26750481069510656E17,'Wed Oct 19 20:04:04 +0000 2011','#Microsoft is currently paying to produce #swpats propaganda to lobby politicians with -- to make racketeering seem   acceptable  '
google,neutral,1.2653349149515776E17,'Wed Oct 19 05:41:49 +0000 2011','RT @iPadPowerUsers On Google+ then go here http   t.co 1OGs2xA9 #GPlus #Googleplus #Google #teamfollowback #socialnetwork'
apple,neutral,1.2531526318385152E17,'Sat Oct 15 21:01:01 +0000 2011','So @apple changed the look of their on off toggle. I wonder how long it will take for all the hip web apps to follow...'
apple,irrelevant,1.2604261170952192E17,'Mon Oct 17 21:11:15 +0000 2011','@Apple podría lanzar un #iPad Mini en el 2012  según los últimos rumores. http   t.co 3mkPJTFX'
google,negative,1.26493030185316352E17,'Wed Oct 19 03:01:03 +0000 2011','good job  #google.  did anyone get when any of this shit is actually shipping? #infofail'
twitter,neutral,1.26867201776037888E17,'Thu Oct 20 03:47:52 +0000 2011','Everyone be sure to follow me on #twitter @mellee_love and check out my boy @TheRealDWI CT stand up!!'
microsoft,positive,1.26677986522054656E17,'Wed Oct 19 15:16:00 +0000 2011','Hey parents! Did you know about the free tools from #Microsoft that help keep your kids safe online? Live Family Safety http   t.co muuWbGPn'
microsoft,irrelevant,1.26775003927678976E17,'Wed Oct 19 21:41:30 +0000 2011','MAGIX ##Web Designer  edición visual de páginas Web http   t.co ycafF43r #microsoft #tecnologia'
google,positive,1.264901379442688E17,'Wed Oct 19 02:49:33 +0000 2011','New Galaxy Nexus  Video looks awesome! #nexus #samsung #google #android bit.ly nEJbyE'
microsoft,positive,1.26735438948995072E17,'Wed Oct 19 19:04:17 +0000 2011','Can\'t wait until I can visit the holodeck! Thanks for sharing. RT @karljuhlke Beam me up #Microsoft! Microsoft has... http   t.co ZGbk3xnK'
google,neutral,1.26504126665334784E17,'Wed Oct 19 03:45:08 +0000 2011','#droidtweak #Video  #IceCreamSandwich on the #GalaxyNexus http   t.co vBcl0OzP #googlephone #nexus1 #NexusS #google'
twitter,neutral,1.26873003920330752E17,'Thu Oct 20 04:10:55 +0000 2011','Tired A\'f  gt . lt  #Twitter Off'
microsoft,irrelevant,1.26628891929493504E17,'Wed Oct 19 12:00:55 +0000 2011','ff Account aan Microsoft Outlook toevoegen #microsoft'
google,irrelevant,1.26490918885920768E17,'Wed Oct 19 02:52:39 +0000 2011','#kikitoutdur devant ICS #google #nexusprime'
apple,neutral,1.2524689883045888E17,'Sat Oct 15 16:29:22 +0000 2011','@notleifgarrett @apple you\'ll be able to afford that mansion one day.'
google,positive,1.26497860752646144E17,'Wed Oct 19 03:20:14 +0000 2011','Just seen a taste of #Google\'s ice cream sandwich  now I want a bite'
apple,negative,1.26132919117938688E17,'Tue Oct 18 03:10:06 +0000 2011','RT @ShayDiddy  @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!'
google,irrelevant,1.2648785536208896E17,'Wed Oct 19 02:40:29 +0000 2011','Nouvelle app Calendrier   plus épurée #google #nexusprime'
google,irrelevant,1.26485702056751104E17,'Wed Oct 19 02:31:56 +0000 2011','RT @twandroid  Possibilité de supprimer les notifications en les swipant (comme sur Cyanogen) #google #nexusprime'
microsoft,neutral,1.2658864378257408E17,'Wed Oct 19 09:20:59 +0000 2011','SeNews   Ballmer on not buying Yahoo  \'Sometimes you\'re lucky\' #Microsoft #Yahoo   http   t.co E0kvSTj4'
microsoft,neutral,1.26671949320556544E17,'Wed Oct 19 14:52:00 +0000 2011','#MICROSOFT MULTIMEDIA STRAVINSKY   THE RITE OF SPRING (CD-ROM) [VERSION 1.0] Review  MICROSOFT MULTIMEDIA STRAVI... http   t.co iX4FEcM2'
microsoft,negative,1.2668164138821632E17,'Wed Oct 19 15:30:31 +0000 2011','#Microsoft has frozen some #Xbox Live (XBL) accounts after online gamers report they have been hacked. http   t.co MdQhb6x3'
microsoft,irrelevant,1.26589085304369152E17,'Wed Oct 19 09:22:44 +0000 2011','Ik zoek een paar nieuwe collega\'s. Interesse? Kijk op onze site voor actuele #Microsoft #vacatures bit.ly phUYrg RT = fijn #Zwolle'
microsoft,neutral,1.2673238460229632E17,'Wed Oct 19 18:52:09 +0000 2011','RT @drkhan  Are you going to #RSNA? Visit #Microsoft at booth 1411 http   t.co wdHFz7hp #RSNA2011 #RSNA11 #radiology #Amalga #HealthVault'
apple,neutral,1.25657950185463808E17,'Sun Oct 16 19:42:44 +0000 2011','RT @TerryStorch  With @twitter and @apple partnership  would be great if SMS from 40404 to iOS devices would use imessage.'
google,positive,1.26499581520384E17,'Wed Oct 19 03:27:05 +0000 2011','RT @Sarahhhhh112  @_xmas_carroll Yeah I got #skype and #google+ and #twitter so who needs facebook?'
twitter,irrelevant,1.26863321327611904E17,'Thu Oct 20 03:32:27 +0000 2011','y ustedes se ga ga ga ga cuando el mago les manda por #Twitter'
google,neutral,1.26493280832724992E17,'Wed Oct 19 03:02:02 +0000 2011','Recent study of #Google CTR reveals that top three positions in #GoogleSearch receive 35\% of traffic.... http   t.co IHts3PyW'
google,irrelevant,1.26488305859698688E17,'Wed Oct 19 02:42:16 +0000 2011','Consommation data affichée dans les paramètres  avec même une approximation de la consommation future !#google #nexusprime'
twitter,irrelevant,1.26861979762696192E17,'Thu Oct 20 03:27:07 +0000 2011','Tinha Esquecido Do #Twitter Ç.Ç Nunca Fiz Isso !Rsrsrs'
apple,neutral,1.26186795808456704E17,'Tue Oct 18 06:44:11 +0000 2011','I have 4 @Apple products...'
apple,positive,1.25840039031738368E17,'Mon Oct 17 07:46:17 +0000 2011','@apple your simply the best.'
microsoft,neutral,1.26642612412227584E17,'Wed Oct 19 12:55:26 +0000 2011','#microsoft #edu Microsoft\'s Kinect brings \'playful learning\' to the Xbox 360 - The Guardian http   t.co MW22MJOG'
google,neutral,1.26499346022805504E17,'Wed Oct 19 03:26:08 +0000 2011','#Android #Google Android 4.0 Ice Cream Sandwich SDK is available today http   t.co mTnbj9hD #DhilipSiva'
