@relation output_tweet_blind

@attribute topicazo {apple,google,twitter,microsoft}
@attribute classs {positive,negative,neutral,irrelevant}
@attribute TweetText string

@data
apple,?,'Fico manso os pre os desses IPHONEs absurdos R 2 500 Assim n o d F a apple S se eu fizesse programa na Beira Mar'
google,?,'google s galaxy nexus just came out with anroid4 0 http t co p5kuIoox'
google,?,'RT aalkhubaizi Introducing Android 4 0 Ice Cream SandwichIntroducing Android 4 0 Ice Cream Sandwich http t co L4Hqkv0c Google An'
twitter,?,'These Hoes Follow Me Like Twitter'
google,?,'Pretty big deal from Samsung and Google def can t wait to get my hands on the GalaxyNexus and ICS'
microsoft,?,'Bill Gates llamado a declarar por un antiguo caso de http t co wFrUi1nN Wordperfect Windows 95 Microsoft Novell Bill Gates'
microsoft,?,'Microsoft store here I come to spend my hard earned cash vslive'
twitter,?,'Gud morning twitter'
google,?,'6 of women use Google for info on health care vs 28 of men gt http t co PM6wxvQb via nicolaziady hcsmeu epharma'
microsoft,?,'Alunos vcs podem baixar a vers o de avalia o do Windows7 Enterprise de gra a diretamente da Microsoft Vejam http t co 1rXnEpYl'
apple,?,'nascarwriter right where I left it last week iphone4S Apple Apple http t co ksJh8BAS'
google,?,'Editeur de photo maintenant redimensionner ce qu on avait d j vu google nexusprime'
apple,negative,'Just searching with my voice on my 2 year old nexus one apple'
microsoft,?,'JackDavidson95 ill be manager after a week Yeh joint ownership of microsoft ahhhhh'
twitter,?,'Hoy definitivamente noche para la risa en twitter'
apple,?,'apple How much is the student discount on the MacBook Air in Canada Your reps have said both 50 and 100 Which is it Thanks laptop'
apple,negative,'The one iphone feature still missing since apple first showed it Contacts pictures on the contacts list Simple yet 5 major updates miss'
microsoft,?,'Microsoft expande su plataforma de datos con SQLServer2012 Los clientes tendr s m s flexibilidad y escalabilidad http t co kNRjOflf'
microsoft,?,'Microsoft Werk Senior IT Infrastructure Specialist Microsoft Senior Systeembeheerder regio Amsterdam http t co 1erIcOhS'
google,?,'Word of Mouth and the Internet YouTube http t co UCD9sDx4 google searching wom'
microsoft,?,'microsoft diggita Microsoft Macro in Word 2007 gerardopaolillo http t co O3M07opC'
google,?,'Google confirms that the Nexus S will actually get the ice cream sandwich update'
microsoft,?,'Job IT Projekt Management Microsoft Projekt f r Freelancer Programm Manager m w in Berlin http t co MO4jtpTL'
microsoft,?,'Nice comparison w Microsoft RT google Watch the live stream of Vic Gundotra Sergey Brin at w2s http t co vPxANJtz'
twitter,?,'Goodnight twitter'
microsoft,?,'RT EurekaStartups Un teclado t ctil sobre cualquier superficie gt http t co EakkXn0O Microsoft Tecnolog a'
google,?,'GOOGLE me if u dnt understand me'
microsoft,?,'booooa tarde sai da aula da microsoft e agora to aqui na Escola Saga D'
microsoft,?,'Print Ads Dead Not with Microsoft TAG on your ad learn more here http t co vfZRTkaa'
google,?,'Google La recherche crypt e tendue tous les utilisateurs connect s un service Google via commentcamarche http t co 5d4YG4pa'
apple,negative,'Thanks to a 90 minute wait on hold half an hour actually talking to someone the Apple tech decides to send me an email to fix my phone'
microsoft,?,'Hoe is het zover kunnen komen microsoft stuurt mij nieuwsbrieven waar outlook van vastloopt o newsletters'
twitter,?,'My 3 biggest obsessions twitter dancemoms and desperatehousewives lt 3'
microsoft,negative,'There is nothing like sitting in the workshop all day talking to microsoft and having to talk to them again tomorrow waiting for parts'
microsoft,?,'Ballmer On Not Buying Yahoo Sometimes You re Lucky Speaking today at Web 2 0 Microsoft http t co KOt83DxF'
google,?,'ahahaa for the twitpic the power of google'
apple,negative,'Hey Apple I know Steve Jobs died all but my Twitter for iPad app keeps crashing Fix it NOW please lol F Light'
twitter,?,'twitter off'
google,?,'Google Samsung GalaxyNexus http t co 1C5iEpPk'
twitter,?,'StaceHendrix Pls let us know if you need help w music marketing promo We got Twitter Youtube on lock http t co EWFffl35'
microsoft,?,'RT TheStreet Ballmer Microsoft Beating Google in the Cloud http t co rfiaNud0 via gigaom'
